Step 0 timings: Total: 0.2781ms, Carnivores: 0.1620ms, Herbivores: 0.0275ms, Plants: 0.0636ms | Threads: 2
Step 1 timings: Total: 0.2664ms, Carnivores: 0.0670ms, Herbivores: 0.0425ms, Plants: 0.1297ms | Threads: 2
Step 2 timings: Total: 0.3603ms, Carnivores: 0.0774ms, Herbivores: 0.0524ms, Plants: 0.2035ms | Threads: 2
Step 3 timings: Total: 0.3359ms, Carnivores: 0.1197ms, Herbivores: 0.0442ms, Plants: 0.1464ms | Threads: 2
Step 4 timings: Total: 0.5460ms, Carnivores: 0.0761ms, Herbivores: 0.0762ms, Plants: 0.3655ms | Threads: 2
Step 5 timings: Total: 0.5982ms, Carnivores: 0.0885ms, Herbivores: 0.1183ms, Plants: 0.3633ms | Threads: 2
Step 6 timings: Total: 0.5345ms, Carnivores: 0.0539ms, Herbivores: 0.1034ms, Plants: 0.2514ms | Threads: 2
Step 7 timings: Total: 0.4734ms, Carnivores: 0.0683ms, Herbivores: 0.1211ms, Plants: 0.2493ms | Threads: 2
Step 8 timings: Total: 0.4947ms, Carnivores: 0.0742ms, Herbivores: 0.1129ms, Plants: 0.2795ms | Threads: 2
Step 9 timings: Total: 0.4215ms, Carnivores: 0.0677ms, Herbivores: 0.0919ms, Plants: 0.2366ms | Threads: 2
Step 10 timings: Total: 0.4194ms, Carnivores: 0.0666ms, Herbivores: 0.1065ms, Plants: 0.2207ms | Threads: 2
Step 11 timings: Total: 0.5252ms, Carnivores: 0.0695ms, Herbivores: 0.1422ms, Plants: 0.2795ms | Threads: 2
Step 12 timings: Total: 0.4043ms, Carnivores: 0.0633ms, Herbivores: 0.1252ms, Plants: 0.1903ms | Threads: 2
Step 13 timings: Total: 0.4807ms, Carnivores: 0.1077ms, Herbivores: 0.1917ms, Plants: 0.1558ms | Threads: 2
Step 14 timings: Total: 0.4493ms, Carnivores: 0.1109ms, Herbivores: 0.1224ms, Plants: 0.1865ms | Threads: 2
Step 15 timings: Total: 0.3990ms, Carnivores: 0.0674ms, Herbivores: 0.1227ms, Plants: 0.1836ms | Threads: 2
Step 16 timings: Total: 0.4760ms, Carnivores: 0.0749ms, Herbivores: 0.1632ms, Plants: 0.2093ms | Threads: 2
Step 17 timings: Total: 0.5045ms, Carnivores: 0.0749ms, Herbivores: 0.1452ms, Plants: 0.2583ms | Threads: 2
